model_param,prec_mean,prec_worst,prec_median,accs_mean,accs_worst,accs_median
0.3,0.818,0.471,0.824,0.756,0.514,0.771
0.25,0.828,0.476,0.846,0.765,0.517,0.759
0.2,0.839,0.333,0.846,0.771,0.478,0.783
