model_param,prec_mean,prec_worst,prec_median,accs_mean,accs_worst,accs_median
11,0.835,0.5,0.846,0.767,0.552,0.759
17,0.836,0.476,0.846,0.769,0.517,0.759
27,0.828,0.476,0.846,0.765,0.517,0.759
35,0.817,0.435,0.833,0.759,0.483,0.759
