,min precision,min recall,min f1_score,min accuracy,max precision,max recall,max f1_score,max accuracy,mean precision,mean recall,mean f1_score,mean accuracy,std precision,std recall,std f1_score,std accuracy
CTriad,0.42,0.47,0.48,0.48,1.0,1.0,1.0,1.0,0.888547,0.8939619999999999,0.793264,0.793264,0.08709086514095495,0.08746920918814803,0.07122223181001842,0.07122223181001842
TPC,0.5,0.45,0.48,0.48,1.0,1.0,1.0,1.0,0.8927130000000001,0.89274,0.791088,0.791088,0.08485487393780042,0.0922572078484928,0.07066580683753636,0.07066580683753636
KSCTriad,0.42,0.47,0.48,0.48,1.0,1.0,1.0,1.0,0.888547,0.8939619999999999,0.793264,0.793264,0.08709086514095495,0.08746920918814803,0.07122223181001842,0.07122223181001842
DDE,0.5,0.5,0.48,0.48,1.0,1.0,1.0,1.0,0.895216,0.907472,0.806711,0.806711,0.08429895221175647,0.08556558429649155,0.0692760599269329,0.0692760599269329
gappyKernel,0.42,0.38,0.48,0.48,1.0,1.0,1.0,1.0,0.8807810000000001,0.857368,0.7871540000000001,0.7871540000000001,0.09113067562023229,0.09586872574515634,0.07025268880263588,0.07025268880263588
ensemble,0.5,0.5,0.55,0.55,1.0,1.0,1.0,1.0,0.8988729999999999,0.916701,0.8296380000000001,0.8296380000000001,0.08199682842037245,0.07866324808320592,0.06184989050919978,0.06184989050919978
