,min,mean,max,std
AutoPos,0.48148148148148145,0.7092592592592593,0.8518518518518519,0.0843558664735583
NG,0.4482758620689655,0.7134482758620689,0.896551724137931,0.08314493169798758
GAANG,0.5517241379310345,0.7589655172413792,0.896551724137931,0.0757828740233818
