,min,mean,max,std
AutoPos,0.27586206896551724,0.7075655172413794,0.9655172413793104,0.08102218277891071
NG,0.3793103448275862,0.735451724137931,0.9655172413793104,0.08001077803436661
GAANG,0.4827586206896552,0.768796551724138,0.9655172413793104,0.07259432332376078
Ensemble,0.4482758620689655,0.7638206896551725,0.9655172413793104,0.07217744154357687
