model_param,prec_mean,prec_worst,prec_median,accs_mean,accs_worst,accs_median
0.3,0.815,0.625,0.812,0.783,0.686,0.8
0.25,0.818,0.636,0.833,0.779,0.655,0.793
0.2,0.781,0.636,0.769,0.73,0.609,0.783
