model_param,prec_mean,prec_worst,prec_median,accs_mean,accs_worst,accs_median
11,0.817,0.615,0.824,0.772,0.655,0.759
17,0.802,0.615,0.824,0.772,0.655,0.759
27,0.818,0.636,0.833,0.779,0.655,0.793
35,0.837,0.643,0.909,0.772,0.69,0.759
