aac_pssm0,aac_pssm1,aac_pssm2,aac_pssm3,aac_pssm4,aac_pssm5,aac_pssm6,aac_pssm7,aac_pssm8,aac_pssm9,aac_pssm10,aac_pssm11,aac_pssm12,aac_pssm13,aac_pssm14,aac_pssm15,aac_pssm16,aac_pssm17,aac_pssm18,aac_pssm19
-1.9074074074074077,-1.416666666666667,-1.6111111111111112,-2.0185185185185186,-1.9814814814814812,-1.6851851851851851,-1.6481481481481477,-3.092592592592593,-0.9444444444444444,-1.2407407407407407,-1.9722222222222223,-1.824074074074074,-0.6944444444444444,-1.6203703703703707,-2.712962962962963,-1.75,-1.2222222222222223,-2.666666666666666,-1.0185185185185186,-1.4722222222222223
-1.8055555555555556,-1.1759259259259258,-1.4814814814814812,-1.7592592592592593,-1.6481481481481477,-1.6574074074074074,-1.416666666666667,-2.8333333333333326,-0.6574074074074074,-1.1574074074074074,-1.7592592592592593,-1.6111111111111112,-0.4907407407407408,-1.4444444444444444,-2.5833333333333326,-1.6574074074074074,-1.2037037037037035,-2.1851851851851847,-0.8055555555555556,-1.3518518518518519
-1.47979797979798,-0.9747474747474746,-1.297979797979798,-1.595959595959596,-1.4898989898989898,-1.3535353535353538,-0.9595959595959596,-2.414141414141414,-0.8181818181818182,-1.0555555555555556,-1.6565656565656564,-1.0757575757575757,-1.0505050505050506,-1.5353535353535355,-2.4545454545454546,-1.2474747474747474,-1.0757575757575757,-2.4090909090909087,-1.4343434343434343,-1.202020202020202
-1.541666666666667,-1.09375,-2.25,-2.0104166666666665,-2.1041666666666665,-1.8541666666666672,-1.666666666666667,-2.84375,-1.6875,-1.364583333333333,-1.583333333333333,-1.625,-0.4375,-1.520833333333333,-2.666666666666666,-1.71875,-1.21875,-2.322916666666666,-1.520833333333333,-1.447916666666667
-1.9586776859504127,-1.487603305785124,-1.7768595041322315,-2.082644628099174,-2.347107438016528,-2.008264462809917,-1.768595041322314,-2.9834710743801653,-1.1570247933884297,-1.43801652892562,-1.917355371900826,-1.7768595041322315,-0.975206611570248,-1.4710743801652892,-2.809917355371901,-1.925619834710744,-1.4462809917355373,-2.975206611570248,-1.537190082644628,-1.4958677685950412
-1.6322869955156953,-1.4170403587443947,-1.6457399103139017,-1.9282511210762328,-2.20627802690583,-1.7443946188340809,-1.390134529147982,-2.6412556053811658,-0.9730941704035874,-1.2107623318385647,-1.7309417040358746,-1.6591928251121075,-1.2152466367713004,-1.6905829596412556,-3.089686098654709,-1.5426008968609863,-1.2466367713004483,-2.7847533632287,-1.5426008968609863,-1.390134529147982
-1.8466666666666665,-1.5266666666666664,-1.7733333333333337,-2.093333333333333,-2.366666666666666,-1.9266666666666672,-1.633333333333333,-3.0133333333333323,-1.2400000000000002,-1.42,-1.94,-1.793333333333333,-1.2866666666666664,-1.62,-2.826666666666666,-1.8466666666666665,-1.5066666666666662,-2.8333333333333326,-1.5066666666666662,-1.56
-1.8466666666666665,-1.5266666666666664,-1.7733333333333337,-2.093333333333333,-2.366666666666666,-1.9266666666666672,-1.633333333333333,-3.0133333333333323,-1.2400000000000002,-1.42,-1.94,-1.793333333333333,-1.2866666666666664,-1.62,-2.826666666666666,-1.8466666666666665,-1.5066666666666662,-2.8333333333333326,-1.5066666666666662,-1.56
-1.3373493975903614,-1.0843373493975903,-1.5783132530120485,-1.795180722891566,-1.3975903614457832,-1.4939759036144575,-1.5783132530120485,-2.072289156626506,-0.8072289156626506,-1.4457831325301203,-1.5662650602409636,-1.795180722891566,-1.0120481927710843,-1.2048192771084336,-2.8433734939759034,-1.0,-0.9638554216867468,-1.36144578313253,-0.8554216867469878,-1.3975903614457832
-1.4223826714801444,-1.3935018050541517,-1.4332129963898916,-1.7978339350180506,-1.7617328519855595,-1.552346570397112,-1.3501805054151623,-2.436823104693141,-0.9783393501805054,-1.2129963898916967,-1.6245487364620939,-1.5487364620938626,-0.888086642599278,-1.5884476534296028,-2.76173285198556,-1.3249097472924187,-1.1624548736462097,-2.306859205776173,-1.335740072202166,-1.3249097472924187
