,min precision,min recall,min accuracy,max precision,max recall,max accuracy,mean precision,mean recall,mean accuracy,std precision,std recall,std accuracy
NN,0.42857142857142855,0.45454545454545453,0.5862068965517241,1.0,1.0,1.0,0.8955193365272498,0.9117214269979248,0.8222344827586207,0.08371350660949504,0.08361670139305954,0.062247950364759434
ensemble,0.5,0.5,0.55,1.0,1.0,1.0,0.8988729999999999,0.916701,0.8296380000000001,0.08199682842037245,0.07866324808320592,0.06184989050919978
GBC,0.38461538461538464,0.5384615384615384,0.5517241379310345,1.0,1.0,1.0,0.85428763324055,0.9335354641815015,0.8222862068965519,0.09648002951295433,0.07447722627121961,0.06563035888317512
